zona,m2,recamaras,banos,estacionamientos,precio_venta_mxn,renta_mensual_mxn,antiguedad_anios,vacancia_pct,riesgo_zona
Cumbres del Lago,93.5,4,3,1,2982000,18500,5,2.5,2
Centro,125.5,3,1,2,3187000,15500,30,9.8,4
Corregidora,153.9,2,2,1,3586000,23100,4,5.1,3
Cumbres del Lago,156.2,4,3,2,6557000,35600,7,3.9,2
Corregidora,75.5,2,2,2,2032000,9200,7,7.7,3
El Refugio,121.3,3,2,2,3503000,18500,8,5.0,3
El Refugio,72.0,3,2,2,2462000,15700,5,2.9,3
Mileno III,142.8,3,2,2,4072000,25200,11,5.4,3
Corregidora,133.2,3,2,1,3088000,14900,15,5.6,3
Juriquilla,93.9,2,2,1,2364000,11500,8,3.2,2
Jurica,136.8,3,3,2,9000000,48500,11,4.6,2
Juriquilla,132.6,3,2,1,4500000,22700,7,4.0,2
Zibatá,78.9,3,2,1,2231000,10200,0,3.4,1
Cumbres del Lago,107.7,3,3,2,4145000,22500,2,3.3,2
Corregidora,137.1,2,2,1,4481000,26300,14,3.2,3
Centro,110.6,2,1,2,1940000,9500,22,4.4,4
Centro,112.9,2,1,1,2304000,10300,16,9.3,4
Corregidora,139.1,2,2,1,3773000,22200,10,3.0,3
El Refugio,123.6,3,2,2,3487000,22400,9,5.5,3
Mileno III,105.0,2,2,2,2263000,12900,6,3.8,3
El Refugio,96.7,3,2,1,2258000,14600,2,3.2,3
Jurica,107.5,3,3,2,4970000,26000,11,5.0,2
Centro,108.6,3,1,2,2081000,9500,25,8.7,4
Centro,116.5,3,1,2,3012000,14100,28,7.7,4
Juriquilla,82.4,3,2,2,2664000,14800,1,4.0,2
El Refugio,156.5,2,2,3,4242000,27200,10,4.6,3
Corregidora,117.8,2,2,1,3901000,20700,6,6.2,3
Juriquilla,133.5,3,2,2,4836000,27300,3,4.8,2
Jurica,118.8,3,3,2,5942000,38500,20,3.2,2
Centro,88.6,1,1,2,1606000,9600,10,6.0,4
Zibatá,134.7,3,2,1,4113000,26500,2,3.3,1
Zibatá,166.9,3,2,3,5862000,32100,2,3.6,1
Corregidora,109.9,3,2,1,3566000,18000,4,2.3,3
Mileno III,62.9,2,2,2,1538000,8600,12,7.7,3
Centro,96.4,1,1,2,1806000,11500,10,4.5,4
El Refugio,133.3,2,2,2,3774000,18900,9,3.0,3
El Refugio,120.7,2,2,1,3207000,19600,7,3.8,3
Juriquilla,126.8,3,2,1,4156000,24100,4,3.5,2
Jurica,93.3,3,3,1,3845000,17500,19,3.5,2
Juriquilla,106.2,3,2,1,3100000,14100,6,2.9,2
Mileno III,120.6,2,2,1,2851000,13300,11,6.6,3
Corregidora,53.6,3,2,2,1730000,9500,6,5.8,3
Mileno III,106.8,2,2,2,2225000,11900,10,3.5,3
Centro,95.4,1,1,1,1702000,8200,10,5.5,4
Corregidora,121.3,3,2,1,3119000,14700,10,2.3,3
Corregidora,159.5,3,2,1,4846000,21900,4,3.9,3
El Refugio,45.0,2,2,2,1318000,6000,6,4.0,3
Cumbres del Lago,79.3,4,3,2,3695000,17800,3,3.5,2
Jurica,120.3,4,3,2,6509000,36300,16,3.6,2
Corregidora,137.8,3,2,1,4090000,18900,4,7.8,3
Cumbres del Lago,97.4,4,3,1,3892000,17600,7,2.2,2
El Refugio,106.7,2,2,1,3218000,20100,8,2.6,3
